datetime,season,weather,temp,atemp,humidity,windspeed,day_type,hour,count
2011-01-01 00:00:00,1,1,9.84,14.395,81,0.0,2,0,16
2011-01-01 01:00:00,1,1,9.02,13.635,80,0.0,2,1,40
2011-01-01 02:00:00,1,1,9.02,13.635,80,0.0,2,2,32
2011-01-01 03:00:00,1,1,9.84,14.395,75,0.0,2,3,13
2011-01-01 04:00:00,1,1,9.84,14.395,75,0.0,2,4,1
2011-01-01 05:00:00,1,2,9.84,12.88,75,6.0032,2,5,1
2011-01-01 06:00:00,1,1,9.02,13.635,80,0.0,2,6,2
2011-01-01 07:00:00,1,1,8.2,12.88,86,0.0,2,7,3
2011-01-01 08:00:00,1,1,9.84,14.395,75,0.0,2,8,8
2011-01-01 09:00:00,1,1,13.12,17.425,76,0.0,2,9,14
2011-01-01 10:00:00,1,1,15.58,19.695,76,16.9979,2,10,36
2011-01-01 11:00:00,1,1,14.76,16.665,81,19.0012,2,11,56
2011-01-01 12:00:00,1,1,17.22,21.21,77,19.0012,2,12,84
2011-01-01 13:00:00,1,2,18.86,22.725,72,19.9995,2,13,94
2011-01-01 14:00:00,1,2,18.86,22.725,72,19.0012,2,14,106
2011-01-01 15:00:00,1,2,18.04,21.97,77,19.9995,2,15,110
2011-01-01 16:00:00,1,2,17.22,21.21,82,19.9995,2,16,93
2011-01-01 17:00:00,1,2,18.04,21.97,82,19.0012,2,17,67
2011-01-01 18:00:00,1,3,17.22,21.21,88,16.9979,2,18,35
2011-01-01 19:00:00,1,3,17.22,21.21,88,16.9979,2,19,37
2011-01-01 20:00:00,1,2,16.4,20.455,87,16.9979,2,20,36
2011-01-01 21:00:00,1,2,16.4,20.455,87,12.998,2,21,34
2011-01-01 22:00:00,1,2,16.4,20.455,94,15.0013,2,22,28
2011-01-01 23:00:00,1,2,18.86,22.725,88,19.9995,2,23,39
2011-01-02 00:00:00,1,2,18.86,22.725,88,19.9995,2,0,17
2011-01-02 01:00:00,1,2,18.04,21.97,94,16.9979,2,1,17
2011-01-02 02:00:00,1,2,17.22,21.21,100,19.0012,2,2,9
2011-01-02 03:00:00,1,2,18.86,22.725,94,12.998,2,3,6
2011-01-02 04:00:00,1,2,18.86,22.725,94,12.998,2,4,3
2011-01-02 06:00:00,1,3,17.22,21.21,77,19.9995,2,6,2
2011-01-02 07:00:00,1,2,16.4,20.455,76,12.998,2,7,1
2011-01-02 08:00:00,1,3,16.4,20.455,71,15.0013,2,8,8
2011-01-02 09:00:00,1,2,15.58,19.695,76,15.0013,2,9,20
2011-01-02 10:00:00,1,2,14.76,17.425,81,15.0013,2,10,53
2011-01-02 11:00:00,1,2,14.76,16.665,71,16.9979,2,11,70
2011-01-02 12:00:00,1,2,14.76,16.665,66,19.9995,2,12,93
2011-01-02 13:00:00,1,2,14.76,17.425,66,8.9981,2,13,75
2011-01-02 14:00:00,1,3,14.76,17.425,76,12.998,2,14,59
2011-01-02 15:00:00,1,3,13.94,16.665,81,11.0014,2,15,74
2011-01-02 16:00:00,1,3,13.94,16.665,71,11.0014,2,16,76
2011-01-02 17:00:00,1,1,13.94,16.665,57,12.998,2,17,65
2011-01-02 18:00:00,1,2,14.76,16.665,46,22.0028,2,18,53
2011-01-02 19:00:00,1,1,13.12,14.395,42,30.0026,2,19,30
2011-01-02 20:00:00,1,1,12.3,13.635,39,23.9994,2,20,22
2011-01-02 21:00:00,1,1,10.66,11.365,44,22.0028,2,21,31
2011-01-02 22:00:00,1,1,9.84,10.605,44,19.9995,2,22,9
2011-01-02 23:00:00,1,1,9.02,11.365,47,11.0014,2,23,8
2011-01-03 00:00:00,1,1,9.02,9.85,44,23.9994,1,0,5
2011-01-03 01:00:00,1,1,8.2,8.335,44,27.9993,1,1,2
2011-01-03 04:00:00,1,1,6.56,6.82,47,26.0027,1,4,1
2011-01-03 05:00:00,1,1,6.56,6.82,47,19.0012,1,5,3
2011-01-03 06:00:00,1,1,5.74,5.305,50,26.0027,1,6,30
2011-01-03 07:00:00,1,1,5.74,6.82,50,12.998,1,7,64
2011-01-03 08:00:00,1,1,5.74,6.06,50,19.0012,1,8,154
2011-01-03 09:00:00,1,1,6.56,6.82,43,26.0027,1,9,88
