datetime,weather,atemp,humidity,windspeed,hour,year,month,count
2011-01-01 00:00:00,1,14.395,81,0.0,0,2011,1,16
2011-01-01 01:00:00,1,13.635,80,0.0,1,2011,1,40
2011-01-01 02:00:00,1,13.635,80,0.0,2,2011,1,32
2011-01-01 03:00:00,1,14.395,75,0.0,3,2011,1,13
2011-01-01 04:00:00,1,14.395,75,0.0,4,2011,1,1
2011-01-01 05:00:00,2,12.88,75,6.0032,5,2011,1,1
2011-01-01 06:00:00,1,13.635,80,0.0,6,2011,1,2
2011-01-01 07:00:00,1,12.88,86,0.0,7,2011,1,3
2011-01-01 08:00:00,1,14.395,75,0.0,8,2011,1,8
2011-01-01 09:00:00,1,17.425,76,0.0,9,2011,1,14
2011-01-01 10:00:00,1,19.695,76,16.9979,10,2011,1,36
2011-01-01 11:00:00,1,16.665,81,19.0012,11,2011,1,56
2011-01-01 12:00:00,1,21.21,77,19.0012,12,2011,1,84
2011-01-01 13:00:00,2,22.725,72,19.9995,13,2011,1,94
2011-01-01 14:00:00,2,22.725,72,19.0012,14,2011,1,106
2011-01-01 15:00:00,2,21.97,77,19.9995,15,2011,1,110
2011-01-01 16:00:00,2,21.21,82,19.9995,16,2011,1,93
2011-01-01 17:00:00,2,21.97,82,19.0012,17,2011,1,67
2011-01-01 18:00:00,3,21.21,88,16.9979,18,2011,1,35
2011-01-01 19:00:00,3,21.21,88,16.9979,19,2011,1,37
2011-01-01 20:00:00,2,20.455,87,16.9979,20,2011,1,36
2011-01-01 21:00:00,2,20.455,87,12.998,21,2011,1,34
2011-01-01 22:00:00,2,20.455,94,15.0013,22,2011,1,28
2011-01-01 23:00:00,2,22.725,88,19.9995,23,2011,1,39
2011-01-02 00:00:00,2,22.725,88,19.9995,0,2011,1,17
2011-01-02 01:00:00,2,21.97,94,16.9979,1,2011,1,17
2011-01-02 02:00:00,2,21.21,100,19.0012,2,2011,1,9
2011-01-02 03:00:00,2,22.725,94,12.998,3,2011,1,6
2011-01-02 04:00:00,2,22.725,94,12.998,4,2011,1,3
2011-01-02 06:00:00,3,21.21,77,19.9995,6,2011,1,2
2011-01-02 07:00:00,2,20.455,76,12.998,7,2011,1,1
2011-01-02 08:00:00,3,20.455,71,15.0013,8,2011,1,8
2011-01-02 09:00:00,2,19.695,76,15.0013,9,2011,1,20
2011-01-02 10:00:00,2,17.425,81,15.0013,10,2011,1,53
2011-01-02 11:00:00,2,16.665,71,16.9979,11,2011,1,70
2011-01-02 12:00:00,2,16.665,66,19.9995,12,2011,1,93
2011-01-02 13:00:00,2,17.425,66,8.9981,13,2011,1,75
2011-01-02 14:00:00,3,17.425,76,12.998,14,2011,1,59
2011-01-02 15:00:00,3,16.665,81,11.0014,15,2011,1,74
2011-01-02 16:00:00,3,16.665,71,11.0014,16,2011,1,76
2011-01-02 17:00:00,1,16.665,57,12.998,17,2011,1,65
2011-01-02 18:00:00,2,16.665,46,22.0028,18,2011,1,53
2011-01-02 19:00:00,1,14.395,42,30.0026,19,2011,1,30
2011-01-02 20:00:00,1,13.635,39,23.9994,20,2011,1,22
2011-01-02 21:00:00,1,11.365,44,22.0028,21,2011,1,31
2011-01-02 22:00:00,1,10.605,44,19.9995,22,2011,1,9
2011-01-02 23:00:00,1,11.365,47,11.0014,23,2011,1,8
2011-01-03 00:00:00,1,9.85,44,23.9994,0,2011,1,5
2011-01-03 01:00:00,1,8.335,44,27.9993,1,2011,1,2
2011-01-03 04:00:00,1,6.82,47,26.0027,4,2011,1,1
2011-01-03 05:00:00,1,6.82,47,19.0012,5,2011,1,3
2011-01-03 06:00:00,1,5.305,50,26.0027,6,2011,1,30
2011-01-03 07:00:00,1,6.82,50,12.998,7,2011,1,64
2011-01-03 08:00:00,1,6.06,50,19.0012,8,2011,1,154
2011-01-03 09:00:00,1,6.82,43,26.0027,9,2011,1,88
